Ürün Adı,Fiyat,Ekran Boyutu,Dahili Depolama,Bellek (RAM),Batarya Kapasitesi,Teknik Puan,Link
TP-Link Neffos X9,,5.99 İnç,32 GB,3 GB,3060 mAh,32.0,https://www.epey.com/akilli-telefonlar/neffos-x9.html
Apple iPhone 6s,,4.7 İnç,16 GB,2 GB,1715 mAh,32.0,https://www.epey.com/akilli-telefonlar/apple-iphone-6s.html
Motorola Moto G5S,,5.2 İnç,16 GB,3 GB,3000 mAh,32.0,https://www.epey.com/akilli-telefonlar/moto-g5s-16gb.html
Samsung Galaxy J6+ Plus,2699.99,6.0 İnç,32 GB,3 GB,3300 mAh,32.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j6-plus-dual.html
Reeder P11SE Max,,5.5 İnç,64 GB,4 GB,3200 mAh,32.0,https://www.epey.com/akilli-telefonlar/reeder-p11se-max.html
Samsung Galaxy J6+ Plus,2518.4,6.0 İnç,32 GB,3 GB,3300 mAh,32.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j6-plus.html
Xiaomi Redmi Note 4X,,5.5 İnç,16 GB,3 GB,4100 mAh,32.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-4x-16gb.html
Lenovo K4 Note,,5.5 İnç,32 GB,2 GB,3300 mAh,32.0,https://www.epey.com/akilli-telefonlar/lenovo-k4-note.html
Xiaomi Redmi 6A,,5.45 İnç,32 GB,3 GB,3000 mAh,32.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-6a-3gb-32gb.html
Lenovo A7010,,5.5 İnç,32 GB,2 GB,3300 mAh,32.0,https://www.epey.com/akilli-telefonlar/lenovo-a7010.html
Turkcell T80,1418.25,5.2 İnç,16 GB,2 GB,2730 mAh,32.0,https://www.epey.com/akilli-telefonlar/turkcell-t80.html
Lenovo Vibe X3 Lite,,5.5 İnç,32 GB,2 GB,3300 mAh,32.0,https://www.epey.com/akilli-telefonlar/lenovo-vibe-x3-lite.html
BlackBerry DTEK50,,5.2 İnç,16 GB,3 GB,2610 mAh,32.0,https://www.epey.com/akilli-telefonlar/blackberry-dtek50.html
HTC One M9s,,5.0 İnç,16 GB,2 GB,2840 mAh,32.0,https://www.epey.com/akilli-telefonlar/htc-one-m9s.html
LG Q6,,5.5 İnç,32 GB,3 GB,3000 mAh,32.0,https://www.epey.com/akilli-telefonlar/lg-q6.html
Huawei Y6 2019,1457.31,6.09 İnç,32 GB,2 GB,3020 mAh,32.0,https://www.epey.com/akilli-telefonlar/huawei-y6-2019.html
UMIDIGI A3 Pro,,5.7 İnç,32 GB,3 GB,3300 mAh,32.0,https://www.epey.com/akilli-telefonlar/umidigi-a3-pro.html
LG Q6,,5.5 İnç,32 GB,3 GB,3000 mAh,32.0,https://www.epey.com/akilli-telefonlar/lg-q6-dual.html
Samsung Galaxy J7 Prime,1750.95,5.5 İnç,16 GB,3 GB,3300 mAh,32.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-prime.html
Honor 8 Lite,,5.2 İnç,16 GB,3 GB,3000 mAh,32.0,https://www.epey.com/akilli-telefonlar/huawei-honor-8-lite.html
Apple iPhone 6,,4.7 İnç,64 GB,1 GB,1800 mAh,32.0,https://www.epey.com/akilli-telefonlar/apple-iphone-6-64gb.html
Asus ZenFone Max (2016),,5.5 İnç,32 GB,3 GB,5000 mAh,32.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-max-32gb.html
Sony Xperia XA Ultra,,6.0 İnç,16 GB,3 GB,2700 mAh,32.0,https://www.epey.com/akilli-telefonlar/sony-xperia-xa-ultra.html
Sony Xperia XA Ultra,,6.0 İnç,16 GB,3 GB,2700 mAh,32.0,https://www.epey.com/akilli-telefonlar/sony-xperia-xa-ultra-dual-dim.html
Huawei P9 Lite (2017),1638.57,5.2 İnç,16 GB,3 GB,3000 mAh,31.0,https://www.epey.com/akilli-telefonlar/huawei-p9-lite-2017.html
TP-Link Neffos X1 Max,,5.5 İnç,32 GB,3 GB,3000 mAh,31.0,https://www.epey.com/akilli-telefonlar/tp-link-neffos-x1-max.html
Alcatel Idol 4,,5.2 İnç,16 GB,3 GB,2610 mAh,31.0,https://www.epey.com/akilli-telefonlar/alcatel-onetouch-idol-4.html
Xiaomi Mi 4c,,5.0 İnç,32 GB,3 GB,3080 mAh,31.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-4c-32gb.html
HTC Desire 830,,5.5 İnç,32 GB,3 GB,2800 mAh,31.0,https://www.epey.com/akilli-telefonlar/htc-desire-830.html
HTC Desire Eye,,5.2 İnç,16 GB,2 GB,2400 mAh,31.0,https://www.epey.com/akilli-telefonlar/htc-desire-eye.html
Samsung Galaxy A8,,5.7 İnç,16 GB,2 GB,3050 mAh,31.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a8-16gb.html
HTC One M9 Prime Camera Edition,,5.0 İnç,16 GB,2 GB,2840 mAh,31.0,https://www.epey.com/akilli-telefonlar/htc-one-m9-prime-camera-edition.html
Samsung Galaxy J7 Prime,1699.0,5.5 İnç,16 GB,3 GB,3300 mAh,31.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-prime-duos.html
Xiaomi Redmi 3S Prime,,5.0 İnç,32 GB,3 GB,4100 mAh,31.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-3s-prime.html
Xiaomi Redmi 6A,1999.0,5.45 İnç,32 GB,2 GB,3000 mAh,31.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-6a-32gb.html
Casper VIA P2,,5.3 İnç,32 GB,3 GB,4000 mAh,31.0,https://www.epey.com/akilli-telefonlar/casper-via-p2.html
Xiaomi Redmi 7A,,5.45 İnç,16 GB,2 GB,4000 mAh,31.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-7a-16gb.html
Samsung Galaxy Note 3,,5.7 İnç,16 GB,3 GB,3200 mAh,31.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-3-16gb.html
Xiaomi Redmi 4X,,5.0 İnç,32 GB,3 GB,4100 mAh,31.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-4x-32gb.html
Honor 8S,1712.88,5.71 İnç,32 GB,2 GB,3020 mAh,31.0,https://www.epey.com/akilli-telefonlar/honor-8s.html
Xiaomi Redmi Note 2 Prime,,5.5 İnç,32 GB,2 GB,3060 mAh,31.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-2-prime.html
Lenovo K6 Note,,5.5 İnç,32 GB,3 GB,4000 mAh,31.0,https://www.epey.com/akilli-telefonlar/lenovo-k6-note.html
Casper VIA G1 Plus,,5.99 İnç,32 GB,3 GB,3000 mAh,31.0,https://www.epey.com/akilli-telefonlar/casper-via-g1-plus.html
Motorola Moto E4 Plus,,5.5 İnç,16 GB,3 GB,5000 mAh,31.0,https://www.epey.com/akilli-telefonlar/moto-e4-plus.html
Quatro FSM1453,,6.0 İnç,32 GB,3 GB,3650 mAh,31.0,https://www.epey.com/akilli-telefonlar/quatro-fsm1453.html
Samsung Galaxy Alpha,,4.7 İnç,32 GB,2 GB,1860 mAh,31.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-alpha.html
Huawei P9 Lite,3376.54,5.2 İnç,16 GB,3 GB,3000 mAh,31.0,https://www.epey.com/akilli-telefonlar/huawei-p9-lite-3gb.html
Reeder P10,,5.5 İnç,32 GB,3 GB,3150 mAh,31.0,https://www.epey.com/akilli-telefonlar/reeder-p10.html
Tecno Spark 4 Lite,1591.28,6.52 İnç,32 GB,2 GB,4000 mAh,31.0,https://www.epey.com/akilli-telefonlar/tecno-spark-4-lite.html
Asus ZenFone Max,,5.5 İnç,32 GB,2 GB,5000 mAh,31.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-max.html
LG G2,,5.2 İnç,32 GB,2 GB,3000 mAh,31.0,https://www.epey.com/akilli-telefonlar/lg-g2-32gb.html
Huawei Y7 Pro 2018,1699.0,5.99 İnç,32 GB,3 GB,3000 mAh,31.0,https://www.epey.com/akilli-telefonlar/huawei-y7-pro-2018.html
Apple iPhone SE,,4.0 İnç,16 GB,2 GB,1625 mAh,31.0,https://www.epey.com/akilli-telefonlar/apple-iphone-se.html
ZTE Axon Mini,,5.2 İnç,32 GB,3 GB,2800 mAh,31.0,https://www.epey.com/akilli-telefonlar/zte-axon-mini.html
Xiaomi Mi 4,,5.0 İnç,16 GB,3 GB,3080 mAh,31.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-4.html
Ulefone Vienna,,5.5 İnç,32 GB,3 GB,3250 mAh,31.0,https://www.epey.com/akilli-telefonlar/ulefone-vienna.html
Meizu M6T,1582.86,5.7 İnç,32 GB,3 GB,3300 mAh,31.0,https://www.epey.com/akilli-telefonlar/meizu-m6t.html
Casper VIA M4,1697.25,5.5 İnç,32 GB,3 GB,3000 mAh,31.0,https://www.epey.com/akilli-telefonlar/casper-via-m4-32gb.html
Meizu M5s,1499.99,5.2 İnç,32 GB,3 GB,3000 mAh,31.0,https://www.epey.com/akilli-telefonlar/meizu-m5s.html
Huawei P9 Lite,,5.2 İnç,16 GB,2 GB,3000 mAh,31.0,https://www.epey.com/akilli-telefonlar/huawei-p9-lite-dual.html
Lenovo Vibe S1,,5.0 İnç,32 GB,3 GB,2500 mAh,31.0,https://www.epey.com/akilli-telefonlar/lenovo-vibe-s1.html
Casper VIA E3,1592.25,5.71 İnç,32 GB,2 GB,3200 mAh,31.0,https://www.epey.com/akilli-telefonlar/casper-via-e3.html
Alcatel Pop 4S,,5.5 İnç,16 GB,2 GB,2960 mAh,31.0,https://www.epey.com/akilli-telefonlar/alcatel-pop-4s.html
Casper VIA G1,1899.0,5.7 İnç,32 GB,3 GB,2900 mAh,31.0,https://www.epey.com/akilli-telefonlar/casper-via-g1.html
Gigaset ME Pure,,5.0 İnç,16 GB,2 GB,3320 mAh,31.0,https://www.epey.com/akilli-telefonlar/gigaset-me-pure.html
Xiaomi Redmi 3 Pro,,5.0 İnç,32 GB,3 GB,4100 mAh,31.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-3-pro.html
Lenovo Moto G4 Plus,,5.5 İnç,16 GB,2 GB,3000 mAh,31.0,https://www.epey.com/akilli-telefonlar/lenovo-moto-g4-plus.html
ZTE Nubia Z9 Max,,5.5 İnç,16 GB,2 GB,2900 mAh,30.0,https://www.epey.com/akilli-telefonlar/zte-nubia-z9-max.html
Reeder P11SE Art,,5.5 İnç,32 GB,3 GB,3300 mAh,30.0,https://www.epey.com/akilli-telefonlar/reeder-p11se-art.html
Casper VIA M2,,5.0 İnç,32 GB,3 GB,3000 mAh,30.0,https://www.epey.com/akilli-telefonlar/casper-via-m2.html
Samsung Galaxy S4,,5.0 İnç,16 GB,2 GB,2600 mAh,30.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s4.html
Xiaomi Mi 4,,5.0 İnç,16 GB,2 GB,3080 mAh,30.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-4-4g.html
Lenovo Moto G5,,5.0 İnç,16 GB,3 GB,2800 mAh,30.0,https://www.epey.com/akilli-telefonlar/lenovo-moto-g5.html
Meizu m3 note,,5.5 İnç,16 GB,2 GB,4100 mAh,30.0,https://www.epey.com/akilli-telefonlar/meizu-m3-note.html
Samsung Galaxy J7 (2016),,5.5 İnç,16 GB,2 GB,3300 mAh,30.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-2016-sm-j710f-ds.html
UmiDigi Touch,,5.5 İnç,16 GB,3 GB,4000 mAh,30.0,https://www.epey.com/akilli-telefonlar/umi-touch.html
General Mobile GM 6,1439.0,5.0 İnç,32 GB,3 GB,3000 mAh,30.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-6.html
General Mobile GM 6 d,,5.0 İnç,32 GB,3 GB,3000 mAh,30.0,https://www.epey.com/akilli-telefonlar/general-mobile-gm-6-d.html
Alcatel OneTouch Idol 3,,5.5 İnç,32 GB,2 GB,2910 mAh,30.0,https://www.epey.com/akilli-telefonlar/alcatel-onetouch-idol-3-5-5-32gb.html
Huawei Honor 6,,5.0 İnç,16 GB,3 GB,3100 mAh,30.0,https://www.epey.com/akilli-telefonlar/huawei-honor-6.html
Asus ZenFone 2,,5.5 İnç,16 GB,4 GB,3000 mAh,30.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-2-ze551ml-16gb.html
Honor 7A,,5.7 İnç,32 GB,3 GB,3000 mAh,30.0,https://www.epey.com/akilli-telefonlar/honor-7a-32gb.html
Huawei Y5p,1604.25,5.45 İnç,32 GB,2 GB,3020 mAh,30.0,https://www.epey.com/akilli-telefonlar/huawei-y5p.html
Samsung Galaxy A3 (2016),,4.7 İnç,16 GB,1.5 GB,2300 mAh,28.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a3-2016-sm-a310f-ds.html
Elephone P8000,,5.5 İnç,16 GB,3 GB,4165 mAh,28.0,https://www.epey.com/akilli-telefonlar/elephone-p8000.html
Lenovo P90,,5.5 İnç,32 GB,2 GB,4000 mAh,28.0,https://www.epey.com/akilli-telefonlar/lenovo-p90.html
Excon ERA K6,,5.5 İnç,16 GB,2 GB,3200 mAh,28.0,https://www.epey.com/akilli-telefonlar/excon-era-k6.html
Meizu m1 note,,5.5 İnç,32 GB,2 GB,3140 mAh,28.0,https://www.epey.com/akilli-telefonlar/meizu-m1-note-32gb.html
Apple iPhone 6,,4.7 İnç,32 GB,1 GB,1800 mAh,28.0,https://www.epey.com/akilli-telefonlar/apple-iphone-6-32gb.html
Meizu U20,,5.5 İnç,16 GB,2 GB,3260 mAh,28.0,https://www.epey.com/akilli-telefonlar/meizu-u20.html
Asus Zenfone Live (5.5),,5.5 İnç,16 GB,2 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-live-5-5.html
Xiaomi Redmi 4X,,5.0 İnç,16 GB,2 GB,4100 mAh,28.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-4x.html
Sony Xperia L1,,5.5 İnç,16 GB,2 GB,2620 mAh,28.0,https://www.epey.com/akilli-telefonlar/sony-xperia-l1.html
HTC One (M7),,4.7 İnç,32 GB,2 GB,2300 mAh,28.0,https://www.epey.com/akilli-telefonlar/htc-one.html
Palm PVG100,,3.3 İnç,32 GB,3 GB,800 mAh,28.0,https://www.epey.com/akilli-telefonlar/palm.html
Lenovo K6,,5.0 İnç,16 GB,2 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/lenovo-k6.html
Lenovo K6,,5.0 İnç,16 GB,2 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/lenovo-k6-cift-sim.html
Samsung Galaxy E7,,5.5 İnç,16 GB,2 GB,2950 mAh,28.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-e7-sm-e700f.html
Samsung Galaxy J7 Core,1533.57,5.5 İnç,16 GB,2 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-core-dual.html
Samsung Galaxy S4 Active,,5.0 İnç,16 GB,2 GB,2600 mAh,28.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s4-active.html
LG K11 Prime,1737.0,5.3 İnç,16 GB,2 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/lg-k11-prime.html
Casper VIA M3,,5.5 İnç,32 GB,3 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/casper-via-m3.html
Blackview BV6000s,,4.7 İnç,16 GB,2 GB,4500 mAh,28.0,https://www.epey.com/akilli-telefonlar/blackview-bv6000s.html
Xiaomi Redmi 3S,,5.0 İnç,16 GB,2 GB,4100 mAh,28.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-3s.html
Casper VIA M4,1799.0,5.5 İnç,16 GB,2 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/casper-via-m4.html
Huawei Ascend P7,,5.0 İnç,16 GB,2 GB,2500 mAh,28.0,https://www.epey.com/akilli-telefonlar/huawei-ascend-p7.html
Samsung Galaxy A7,,5.5 İnç,16 GB,2 GB,2600 mAh,28.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a7.html
Sony Xperia C4,,5.5 İnç,16 GB,2 GB,2600 mAh,28.0,https://www.epey.com/akilli-telefonlar/sony-xperia-c4.html
Nokia 2.2,,5.71 İnç,16 GB,2 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/nokia-2-2.html
Samsung Galaxy J4,,5.5 İnç,16 GB,2 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j4-duos.html
HTC Desire 828 Dual SIM,,5.5 İnç,16 GB,2 GB,2800 mAh,28.0,https://www.epey.com/akilli-telefonlar/htc-desire-828-dual-sim.html
Samsung Galaxy J4,,5.5 İnç,16 GB,2 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j4.html
Casper VIA M1,,5.2 İnç,32 GB,3 GB,2900 mAh,27.0,https://www.epey.com/akilli-telefonlar/casper-via-m1-32gb.html
LG K22,1673.07,6.2 İnç,32 GB,2 GB,3000 mAh,27.0,https://www.epey.com/akilli-telefonlar/lg-k22.html
Meizu Metal,,5.5 İnç,16 GB,2 GB,3140 mAh,30.0,https://www.epey.com/akilli-telefonlar/meizu-metal.html
Casper VIA P1,,5.2 İnç,32 GB,4 GB,3000 mAh,30.0,https://www.epey.com/akilli-telefonlar/casper-via-p1.html
HTC One (M8),,5.0 İnç,16 GB,2 GB,2600 mAh,30.0,https://www.epey.com/akilli-telefonlar/htc-one-m8.html
Samsung Galaxy Xcover 4,,5.0 İnç,16 GB,2 GB,2800 mAh,30.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-xcover-4.html
Lenovo Moto G4,,5.5 İnç,16 GB,2 GB,3000 mAh,30.0,https://www.epey.com/akilli-telefonlar/lenovo-moto-g4.html
Asus ZenFone 3 Max,,5.2 İnç,32 GB,3 GB,4130 mAh,30.0,https://www.epey.com/akilli-telefonlar/asus-zenfone-3-max.html
LG Nexus 5,,4.95 İnç,32 GB,2 GB,2300 mAh,30.0,https://www.epey.com/akilli-telefonlar/lg-nexus-5-32gb.html
Samsung Galaxy M10,2022.75,6.2 İnç,16 GB,2 GB,3400 mAh,30.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m10.html
Alcatel 3x,1785.25,5.7 İnç,32 GB,3 GB,3000 mAh,30.0,https://www.epey.com/akilli-telefonlar/alcatel-3x.html
Samsung Galaxy M10,,6.2 İnç,16 GB,2 GB,3400 mAh,30.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-m10-dual.html
Samsung Galaxy J3 (2017),,5.0 İnç,32 GB,3 GB,2400 mAh,30.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j3-2017-32gb.html
Sony Xperia Z Ultra,,6.4 İnç,16 GB,2 GB,3050 mAh,30.0,https://www.epey.com/akilli-telefonlar/sony-xperia-z-ultra.html
Samsung Galaxy A01,1761.42,5.7 İnç,16 GB,2 GB,3000 mAh,30.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a01.html
HTC Desire 10 lifestyle,,5.5 İnç,32 GB,3 GB,2700 mAh,30.0,https://www.epey.com/akilli-telefonlar/htc-desire-10-lifestyle.html
Huawei P9 Lite,,5.2 İnç,16 GB,2 GB,3000 mAh,29.0,https://www.epey.com/akilli-telefonlar/huawei-p9-lite.html
YotaPhone 2,,5.0 İnç,32 GB,2 GB,2500 mAh,29.0,https://www.epey.com/akilli-telefonlar/yotaphone-2.html
Sony Xperia C5 Ultra,,6.0 İnç,16 GB,2 GB,2930 mAh,29.0,https://www.epey.com/akilli-telefonlar/sony-xperia-c5-ultra.html
Reeder P11,,5.2 İnç,32 GB,3 GB,2800 mAh,29.0,https://www.epey.com/akilli-telefonlar/reeder-p11.html
Alcatel 3v,,6.0 İnç,16 GB,2 GB,3000 mAh,29.0,https://www.epey.com/akilli-telefonlar/alcatel-3v.html
HTC One M8s,,5.0 İnç,16 GB,2 GB,2840 mAh,29.0,https://www.epey.com/akilli-telefonlar/htc-one-m8s.html
LG G Flex,,6.0 İnç,32 GB,2 GB,3500 mAh,29.0,https://www.epey.com/akilli-telefonlar/lg-g-flex.html
Alcatel OneTouch Idol 3,,5.5 İnç,16 GB,2 GB,2910 mAh,29.0,https://www.epey.com/akilli-telefonlar/alcatel-onetouch-idol-3-5-5.html
Alcatel IDOL 5,,5.2 İnç,16 GB,3 GB,2800 mAh,29.0,https://www.epey.com/akilli-telefonlar/alcatel-idol-5.html
ZTE Nubia M2 Play,,5.5 İnç,32 GB,3 GB,3000 mAh,29.0,https://www.epey.com/akilli-telefonlar/nubia-m2-play.html
ZTE Blade V8 Mini,,5.0 İnç,32 GB,3 GB,2800 mAh,29.0,https://www.epey.com/akilli-telefonlar/zte-blade-v8-mini.html
Huawei Y6 Prime 2019,1495.0,6.09 İnç,32 GB,2 GB,3020 mAh,29.0,https://www.epey.com/akilli-telefonlar/huawei-y6-prime-2019.html
Sony Xperia Z,,5.0 İnç,16 GB,2 GB,2330 mAh,29.0,https://www.epey.com/akilli-telefonlar/sony-xperia-z.html
Huawei Ascend Mate 7,,6.0 İnç,32 GB,3 GB,4100 mAh,29.0,https://www.epey.com/akilli-telefonlar/huawei-ascend-mate-7-32gb.html
Lenovo K5 Note,,5.5 İnç,16 GB,3 GB,3500 mAh,29.0,https://www.epey.com/akilli-telefonlar/lenovo-k5-note.html
Huawei GT3,,5.2 İnç,16 GB,2 GB,3000 mAh,29.0,https://www.epey.com/akilli-telefonlar/huawei-gt3.html
Huawei Y7 2018,1640.5,5.99 İnç,16 GB,2 GB,3000 mAh,29.0,https://www.epey.com/akilli-telefonlar/huawei-y7-2018.html
LG X Power 2,,5.5 İnç,16 GB,2 GB,4500 mAh,29.0,https://www.epey.com/akilli-telefonlar/lg-x-power2.html
Meizu M6,,5.2 İnç,32 GB,3 GB,3070 mAh,29.0,https://www.epey.com/akilli-telefonlar/meizu-m6.html
Nokia 5 Pro,1418.43,5.2 İnç,16 GB,3 GB,3000 mAh,29.0,https://www.epey.com/akilli-telefonlar/nokia-5-3gb.html
Samsung Galaxy J4+ Plus,,6.0 İnç,32 GB,2 GB,3300 mAh,29.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j4-plus-32gb.html
LG Optimus G Pro,,5.5 İnç,32 GB,2 GB,3140 mAh,29.0,https://www.epey.com/akilli-telefonlar/lg-optimus-g-pro-32gb.html
Vestel Venus V5,1717.7,5.0 İnç,32 GB,3 GB,3050 mAh,29.0,https://www.epey.com/akilli-telefonlar/vestel-venus-v5.html
Vestel Venus V3 5570,1369.9,5.5 İnç,32 GB,2 GB,2480 mAh,29.0,https://www.epey.com/akilli-telefonlar/vestel-venus-v3-5570.html
"Alcatel Pop 4 6""",,6.0 İnç,16 GB,2 GB,3500 mAh,29.0,https://www.epey.com/akilli-telefonlar/alcatel-pop-4-6.html
Xiaomi Redmi 6A,1899.0,5.45 İnç,16 GB,2 GB,3000 mAh,29.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-6a.html
LG K11,,5.3 İnç,16 GB,2 GB,3000 mAh,29.0,https://www.epey.com/akilli-telefonlar/lg-k11.html
Sony Xperia XA,,5.0 İnç,16 GB,2 GB,2300 mAh,29.0,https://www.epey.com/akilli-telefonlar/sony-xperia-xa.html
Samsung Galaxy J7 (2016),,5.5 İnç,16 GB,2 GB,3300 mAh,29.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-2016.html
Vestel Venus V4,,5.5 İnç,32 GB,3 GB,5000 mAh,29.0,https://www.epey.com/akilli-telefonlar/vestel-venus-v4.html
Samsung Galaxy J5 Prime,,5.0 İnç,32 GB,3 GB,2400 mAh,29.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j5-prime-32gb.html
Lenovo K6 Power,,5.0 İnç,16 GB,2 GB,4000 mAh,29.0,https://www.epey.com/akilli-telefonlar/lenovo-k6-power.html
Alcatel OneTouch Idol 3C,,5.5 İnç,16 GB,2 GB,2910 mAh,29.0,https://www.epey.com/akilli-telefonlar/alcatel-onetouch-idol-3c-5-5.html
Sony Xperia Z1 Compact,,4.3 İnç,16 GB,2 GB,2300 mAh,29.0,https://www.epey.com/akilli-telefonlar/sony-xperia-z1-compact.html
HTC One A9s,,5.0 İnç,16 GB,2 GB,2300 mAh,29.0,https://www.epey.com/akilli-telefonlar/htc-one-a9s.html
Alcatel 3,,5.5 İnç,16 GB,2 GB,3000 mAh,29.0,https://www.epey.com/akilli-telefonlar/alcatel-3.html
Nokia Lumia 1020,,4.5 İnç,32 GB,2 GB,2000 mAh,29.0,https://www.epey.com/akilli-telefonlar/nokia-lumia-1020.html
Samsung Galaxy J7 Core,1767.59,5.5 İnç,16 GB,2 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-j7-core.html
Meizu MX4,,5.36 İnç,32 GB,2 GB,3100 mAh,28.0,https://www.epey.com/akilli-telefonlar/meizu-mx4-32gb.html
Samsung Galaxy A3 (2016),,4.7 İnç,16 GB,1.5 GB,2300 mAh,28.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a3-2016.html
Apple iPhone 6 Plus,,5.5 İnç,16 GB,1 GB,2915 mAh,28.0,https://www.epey.com/akilli-telefonlar/apple-iphone-6-plus.html
LG G2,,5.2 İnç,16 GB,2 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/lg-g2.html
Huawei Y5 2019,1533.57,5.71 İnç,16 GB,2 GB,3020 mAh,28.0,https://www.epey.com/akilli-telefonlar/huawei-y5-2019-amn-lx2.html
Huawei Y5 2019,1590.72,5.71 İnç,16 GB,2 GB,3020 mAh,28.0,https://www.epey.com/akilli-telefonlar/huawei-y5-2019.html
Nokia 5,,5.2 İnç,16 GB,2 GB,3000 mAh,28.0,https://www.epey.com/akilli-telefonlar/nokia-5.html
Oxiron X5,,5.5 İnç,16 GB,2 GB,2900 mAh,28.0,https://www.epey.com/akilli-telefonlar/oxiron-x5.html
Samsung Galaxy S4,,5.0 İnç,16 GB,2 GB,2600 mAh,28.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s4-4g.html
Xiaomi Redmi Note 2,,5.5 İnç,16 GB,2 GB,3060 mAh,28.0,https://www.epey.com/akilli-telefonlar/xiaomi-redmi-note-2.html
Casper VIA E2,,5.5 İnç,32 GB,3 GB,4000 mAh,27.0,https://www.epey.com/akilli-telefonlar/casper-via-e2.html
Xiaomi Mi 4c,,5.0 İnç,16 GB,2 GB,3080 mAh,27.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-4c.html
General Mobile Discovery Elite,,5.5 İnç,32 GB,3 GB,2500 mAh,27.0,https://www.epey.com/akilli-telefonlar/general-mobile-discovery-elite.html
LG X cam,,5.2 İnç,16 GB,2 GB,2520 mAh,27.0,https://www.epey.com/akilli-telefonlar/lg-x-cam.html
TP-Link Neffos C9,,5.99 İnç,16 GB,2 GB,3840 mAh,27.0,https://www.epey.com/akilli-telefonlar/neffos-c9.html
HTC One (E8),,5.0 İnç,16 GB,2 GB,2600 mAh,27.0,https://www.epey.com/akilli-telefonlar/htc-one-e8.html
Vestel Venus V3 5070,,5.0 İnç,32 GB,2 GB,2100 mAh,27.0,https://www.epey.com/akilli-telefonlar/vestel-venus-v3-5070.html
LG Nexus 5,,4.95 İnç,16 GB,2 GB,2300 mAh,27.0,https://www.epey.com/akilli-telefonlar/lg-nexus-5.html
LG X Power,,5.3 İnç,16 GB,2 GB,4100 mAh,27.0,https://www.epey.com/akilli-telefonlar/lg-x-power.html
Vodafone Smart 6,,5.5 İnç,16 GB,2 GB,3000 mAh,27.0,https://www.epey.com/akilli-telefonlar/vodafone-smart-6.html
